rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
3-х комнатная квартира,Подземная,,143150.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,103
2-х комнатная квартира,Подземная,,105300.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,78
3-х комнатная квартира,Подземная,,134000.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,100
3-х комнатная квартира,Подземная,,116100.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Аэропорт,bd. Dacia 60/5,90
3-х комнатная квартира,Подземная,,119950.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,93
2-х комнатная квартира,Подземная,,93800.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,67
3-х комнатная квартира,Подземная,,152900.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,110
2-х комнатная квартира,Подземная,,91800.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,2.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,68
2-х комнатная квартира,,,64940.0,1,,,,Частное лицо,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 806/2,45
1-комнатная квартира,,,72000.0,,1,Квартира с ливингом,Незавершенное cтроительство,Частное лицо,Kирпичный,Новострой,Sky House,18,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 20,40
2-х комнатная квартира,,Индивидуальная,148000.0,2,2,,Белый вариант,Застройщик,Kирпичный,Новострой,Exfactor-grup,14,10.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,73
1-комнатная квартира,,,22000.0,,,,Cерый вариант,Частное лицо,Mонолитный,Новострой,,5,2.0,Расположение,,,,58
2-х комнатная квартира,,102,66000.0,1,2,,Нуждается в ремонте,Агентство,,Вторичный,,5,3.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Gheorghe Madan 87/2,56
1-комнатная квартира,Oткрытое,,79900.0,,1,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,Sky House,10,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Băcioii Noi 14/5,34
3-х комнатная квартира,Гараж,Индивидуальная,390000.0,1,2,Квартира с ливингом,Индивидуальный дизайн,Частное лицо,Mонолитный,Новострой,,11,10.0,Кишинёв мун.,Кишинёв,Ботаника,str. Tudor Strișcă 8/7,163
1-комнатная квартира,Подземная,,101000.0,2,1,,Eвроремонт,Частное лицо,,Новострой,Pamir Construct,9,2.0,Кишинёв мун.,Кишинёв,Центр,str. Ialoveni 100/3,46
2-х комнатная квартира,Oткрытое,135,109800.0,1,1,Квартира без ливинга,Eвроремонт,Застройщик,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin 65/3,54
1-комнатная квартира,Подземная,,58750.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Оргеев,Оргеев,Центр,str. Vasile Lupu 156,47
2-х комнатная квартира,,,85900.0,1,,,Индивидуальный дизайн,Агентство,,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Рышкановка,bd. Moscova 7/1,42
2-х комнатная квартира,Oткрытое,Индивидуальная,98500.0,1,1,,Индивидуальный дизайн,Частное лицо,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Буюканы,str. Paris 47,50
1-комнатная квартира,Oткрытое,,36900.0,Нет,,Квартира без ливинга,Без ремонта,Агентство,Kомбинированный,Вторичный,,1,1.0,Кишинёв мун.,Кишинёв,Центр,str. Cojocarilor 25,23
1-комнатная квартира,Подземная,,56500.0,,1,,Белый вариант,Частное лицо,Kомбинированный,Новострой,,9,8.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 95/3,46
1-комнатная квартира,Oткрытое,Индивидуальная,128000.0,Нет,1,,Белый вариант,Частное лицо,Бетон,Новострой,Sky House,16,11.0,Кишинёв мун.,Кишинёв,Центр,str. Lev Tolstoi 63,46
2-х комнатная квартира,,,169000.0,,,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Inamstro,10,2.0,Кишинёв мун.,Кишинёв,Центр,str. Constantin Stere 16,65
1-комнатная квартира,,,65464.0,,,Квартира без ливинга,,Агентство,,Вторичный,,1,,Кишинёв мун.,Кишинёв,Аэропорт,bd. Dacia 75,129
2-х комнатная квартира,Oткрытое,,49990.0,1,1,,Eвроремонт,Частное лицо,Блочный,Вторичный,,5,1.0,Криуляны,Криуляны,Центр,str. 31 August 1989 138,53
2-х комнатная квартира,Oткрытое,,36500.0,1,1,,Индивидуальный дизайн,Частное лицо,Kотельцовый,Вторичный,,4,3.0,Бельцы мун.,Бельцы,6 квартал,str. Anton Cehov 50,44
2-х комнатная квартира,,143,116900.0,,,,,Агентство,,Вторичный,,9,7.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spătarul 9,53
2-х комнатная квартира,,,210000.0,,,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,Basconslux,12,6.0,Расположение,,,,85
2-х комнатная квартира,Oткрытое,Индивидуальная,87500.0,1,1,Квартира с ливингом,Индивидуальный дизайн,Частное лицо,Kомбинированный,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Minsk 47,47
2-х комнатная квартира,Oткрытое,,78180.0,1,,,Белый вариант,Застройщик,,Новострой,,10,6.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 99/7,63
2-х комнатная квартира,,,55016.0,2,1,,Незавершенное cтроительство,Застройщик,,Новострой,,10,3.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,60
1-комнатная квартира,Oткрытое,,57375.0,1,1,,Белый вариант,Застройщик,,Новострой,,10,2.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 99/7,43
2-х комнатная квартира,,,78180.0,1,,,Белый вариант,Застройщик,,Новострой,,10,6.0,Кишинёв мун.,Дурлешты,Окраина,str. Cartuşa 99/7,63
1-комнатная квартира,Oткрытое,,57375.0,1,,,Белый вариант,Застройщик,,Новострой,,10,2.0,Кишинёв мун.,Дурлешты,Окраина,str. Cartuşa 99/7,43
1-комнатная квартира,Oткрытое,Индивидуальная,78900.0,Нет,1,,Индивидуальный дизайн,Застройщик,Kотельцовый,Новострой,,5,1.0,Кишинёв мун.,Кишинёв,Буюканы,str. Alexandru Marinescu 51,35
1-комнатная квартира,Oткрытое,Гостинка,51000.0,1,1,,Eвроремонт,Застройщик,Kирпичный,Новострой,Exfactor-grup,12,12.0,Кишинёв мун.,Кишинёв,Чокана,str. Mihail Sadoveanu 11/2,46
2-х комнатная квартира,Гараж,,97790.0,1,2,Квартира без ливинга,Белый вариант,Застройщик,Ячеистый Бетон,Новострой,Astercon,5,5.0,Кишинёв мун.,Ставчены,Центр,Grătiești  10,63
3-х комнатная квартира,,,95500.0,,,Квартира с ливингом,,Частное лицо,,Новострой,Lagmar Impex,14,7.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 11/1,81
2-х комнатная квартира,,Индивидуальная,159900.0,1,1,Квартира с ливингом,Белый вариант,Частное лицо,Mонолитный,Новострой,,16,15.0,Кишинёв мун.,Кишинёв,Чокана,str. Ginta Latină 8,89
2-х комнатная квартира,,,99500.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Solomon Construct Imobil,12,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Jubiliară 39/1,60
2-х комнатная квартира,,,269000.0,,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,17,16.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Bogdan Voievod 1/E,105
1-комнатная квартира,,,165000.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,17,17.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Bogdan Voievod 1/C,60
3-х комнатная квартира,,,97500.0,,,,,Агентство,,Новострой,,9,6.0,Кишинёв мун.,Дурлешты,Окраина,ул. Картуша 95/5,76
3-х комнатная квартира,,,137499.0,,1,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,Golban Trade,8,5.0,Расположение,,,,70
1-комнатная квартира,Подземная,,63900.0,1,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,5,3.0,Кишинёв мун.,Кишинёв,Телецентр,str. Schinoasa-Vale 3,45
2-х комнатная квартира,Подземная,,87750.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,5,3.0,Кишинёв мун.,Кишинёв,Телецентр,str. Schinoasa-Vale 3,65
2-х комнатная квартира,,,80200.0,,,Квартира с ливингом,,Частное лицо,,Новострой,Sky House,18,17.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 22,57
3-х комнатная квартира,,Брж (Брежневка),,2,1,,Сдан в эксплуатацию,Частное лицо,Kотельцовый,Вторичный,,5,4.0,Расположение,,,,63
3-х комнатная квартира,,,153900.0,,,Квартира с ливингом,Eвроремонт,Частное лицо,Kотельцовый,Новострой,Astercon,9,6.0,Кишинёв мун.,Кишинёв,Буюканы,str. Durleşti 10/D,75
2-х комнатная квартира,,,86900.0,1,,Квартира с ливингом,Белый вариант,Застройщик,Mонолитный,Новострой,,11,8.0,Комрат,Комрат,Центр,str. Lenin 198,79
3-х комнатная квартира,Подземная,Индивидуальная,132000.0,1,2,,Незавершенное cтроительство,Агентство,,Новострой,Lagmar Impex,17,5.0,Кишинёв мун.,Кишинёв,Рышкановка,Calea Mosilor 4,85
2-х комнатная квартира,,,132900.0,1,,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Horus,11,1.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Matei Basarab 1/1,87
2-х комнатная квартира,,,139000.0,1,,Квартира с ливингом,Индивидуальный дизайн,Агентство,,Новострой,Dansicons,14,13.0,Кишинёв мун.,Кишинёв,Центр,str. Nicolae Testemițanu 21/1,69
2-х комнатная квартира,,,88000.0,,,,,Агентство,Kотельцовый,Вторичный,,1,1.0,Кишинёв мун.,Кишинёв,Центр,str. Alexei Șciusev 32,60
2-х комнатная квартира,,,92800.0,,,,Незавершенное cтроительство,Агентство,,Новострой,,11,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Ceucari 1/1,64
2-х комнатная квартира,,,97000.0,1,2,Квартира с ливингом,Незавершенное cтроительство,Агентство,,Новострой,Lagmar Impex,16,13.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Calea Moșilor 4,64
2-х комнатная квартира,Гараж,,103397.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,Ячеистый Бетон,Новострой,Astercon,6,2.0,Кишинёв мун.,Дурлешты,Центр,str. Durlești 8,77
3-х комнатная квартира,Гараж,,153410.0,1,2,,Белый вариант,Застройщик,Kотельцовый,Новострой,Astercon,7,1.0,Кишинёв мун.,Дурлешты,Окраина,str. Durlesti 10/A,106
3-х комнатная квартира,Oткрытое,Индивидуальная,114900.0,2,2,Квартира без ливинга,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,7,3.0,Кишинёв мун.,Кишинёв,Буюканы,str. Ion Creangă 82/4,81
2-х комнатная квартира,,Индивидуальная,72000.0,2,1,,Белый вариант,Застройщик,Kомбинированный,Новострой,Poliprim Grup,8,5.0,Яловены,Яловены,Центр,str. Nicolae Testemiţanu 1,59
3-х комнатная квартира,,Индивидуальная,90200.0,2,2,,Белый вариант,Застройщик,Kомбинированный,Новострой,Poliprim Grup,8,4.0,Яловены,Яловены,Центр,str. Nicolae Testemiţanu 1,82
1-комнатная квартира,Oткрытое,,99000.0,,1,,Eвроремонт,Частное лицо,,Новострой,Reconscivil,15,13.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski 15/6,41
2-х комнатная квартира,,,127500.0,,,Квартира с ливингом,,Агентство,,Новострой,,9,2.0,Яловены,Яловены,Окраина,str. Alexandru cel Bun 2/8,60
3-х комнатная квартира,,,285000.0,1,1,Квартира с ливингом,Белый вариант,Частное лицо,Kирпичный,Новострой,Inamstro,9,5.0,Кишинёв мун.,Кишинёв,Центр,str. Constantin Stere 16,106
3-х комнатная квартира,,,124660.0,1,,Квартира с ливингом,Незавершенное cтроительство,Застройщик,,Новострой,Solomon Construct Imobil,9,4.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,110
1-комнатная квартира,,,51920.0,,1,Квартира с ливингом,Незавершенное cтроительство,Частное лицо,,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,dacia 59 59,47
2-х комнатная квартира,Гараж,Индивидуальная,102830.0,1,2,Квартира с ливингом,Белый вариант,Застройщик,Ячеистый Бетон,Новострой,Astercon,6,3.0,Кишинёв мун.,Дурлешты,Центр,str. Durlești 8,76
1-комнатная квартира,Подземная,Индивидуальная,249000.0,Нет,1,Квартира с ливингом,Индивидуальный дизайн,,Kомбинированный,Новострой,Inamstro,12,4.0,Кишинёв мун.,Кишинёв,Центр,ул. Каля Ешилор 6,50
2-х комнатная квартира,,,157500.0,,,,,Застройщик,,Новострой,,5,4.0,Кишинёв мун.,Кишинёв,Центр,str. Izmail 28,63
1-комнатная квартира,Подземная,,127500.0,,,,Белый вариант,Застройщик,Kирпичный,Новострой,Vasigur Grup,5,3.0,Кишинёв мун.,Кишинёв,Центр,str. Ismail 28,51
1-комнатная квартира,Подземная,,117500.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,Vasigur Grup,5,2.0,Кишинёв мун.,Кишинёв,Центр,str. Ismail 28,47
3-х комнатная квартира,,,205000.0,,,,Белый вариант,Застройщик,,Новострой,,5,3.0,Кишинёв мун.,Кишинёв,Центр,str. Ismail 28,82
3-х комнатная квартира,,Индивидуальная,79200.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,Kомбинированный,Новострой,Poliprim Grup,10,5.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 26,72
1-комнатная квартира,,Индивидуальная,47150.0,1,1,Квартира с ливингом,Белый вариант,Застройщик,Kомбинированный,Новострой,Poliprim Grup,10,3.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 26,41
1-комнатная квартира,,,127500.0,,,Квартира с ливингом,,Застройщик,,Новострой,,5,3.0,Кишинёв мун.,Кишинёв,Центр,str. Ismail 28,51
3-х комнатная квартира,Подземная,Индивидуальная,116992.0,,,,Белый вариант,Застройщик,Kирпичный,Новострой,,10,9.0,Кишинёв мун.,Кишинёв,Буюканы,str. Ion Luca Caragiale 24,73
1-комнатная квартира,,Брж (Брежневка),70000.0,1,1,Квартира без ливинга,Косметический pемонт,Застройщик,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,Московский пр-т 13/5,32
3-х комнатная квартира,Oткрытое,Чш (Чешка),130000.0,1,1,,Косметический pемонт,Застройщик,Kотельцовый,Вторичный,,5,2.0,Кишинёв мун.,Кишинёв,Рышкановка,MOSCOVEI ',74
1-комнатная квартира,Oткрытое,,109500.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,8.0,Кишинёв мун.,Кишинёв,Скулянка,str. Calea Ieșilor .,47
1-комнатная квартира,,Индивидуальная,67590.0,1,,Квартира с ливингом,Белый вариант,Частное лицо,Kомбинированный,Новострой,Braus Imobiliare,12,6.0,Расположение,,,,52
Комната,,,29999.0,,,,,Агентство,,Вторичный,,10,8.0,Кишинёв мун.,Кишинёв,Чокана,str. Petru Zadnipru 4/2,15
2-х комнатная квартира,,,115000125000.0,,2,,,Агентство,,Новострой,,12,2.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Cuza Vodă 1/2,64
1-комнатная квартира,,,29999.0,,,,,Агентство,,Вторичный,,10,8.0,Кишинёв мун.,Кишинёв,Чокана,str. Petru Zadnipru 4/2,15
1-комнатная квартира,Подземная,,79500.0,,1,,Eвроремонт,Агентство,,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Центр,str. Ialoveni 98/1,31
3-х комнатная квартира,,,159000.0,,,,,Застройщик,,Новострой,Solomon Construct Imobil,12,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/4,106
2-х комнатная квартира,Oткрытое,Индивидуальная,129500.0,1,2,Квартира с ливингом,Индивидуальный дизайн,Застройщик,Kирпичный,Новострой,Boiar House,9,8.0,Кишинёв мун.,Дурлешты,Центр,ул. Николае Димо 24,67
1-комнатная квартира,,,103000.0,1,,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,,10,6.0,Кишинёв мун.,Кишинёв,Буюканы,Stradela Lipcani 5,45
1-комнатная квартира,Подземная,Индивидуальная,69000.0,1,1,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Braus Imobiliare,10,9.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 140/1,53
2-х комнатная квартира,,,154800.0,,,Квартира с ливингом,,Застройщик,,Новострой,,12,12.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/4,86
3-х комнатная квартира,Oткрытое,На земле,123000.0,1,1,Квартира с ливингом,Нуждается в ремонте,Застройщик,Kомбинированный,Вторичный,A-casa,1,1.0,Кишинёв мун.,Кишинёв,Аэропорт,dacia 77,115
1-комнатная квартира,Oткрытое,,38500.0,1,1,,Eвроремонт,Застройщик,,Вторичный,,5,5.0,Бельцы мун.,Бельцы,Центр,ул. Индепенденцей 102а,37
1-комнатная квартира,,,88000.0,,,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Inamstro,10,2.0,Кишинёв мун.,Кишинёв,Чокана,str. Ion Dumeniuc 6,44
2-х комнатная квартира,,,70400.0,,,Квартира с ливингом,,Застройщик,Бетон,Новострой,Solomon Construct Imobil,10,6.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,64
3-х комнатная квартира,Oткрытое,,299000.0,4 и более,2,Квартира с ливингом,Индивидуальный дизайн,Частное лицо,Kотельцовый,Новострой,,8,4.0,Кишинёв мун.,Кишинёв,Центр,str. Mitropolitul Petru Movila 23/5,130
2-х комнатная квартира,Oткрытое,,92000.0,3,1,,,Частное лицо,Kотельцовый,Вторичный,,8,2.0,Кишинёв мун.,Бубуечь,Окраина,str. Fierarilor 30,72
2-х комнатная квартира,Oткрытое,,169000.0,Нет,1,Квартира с ливингом,Eвроремонт,Частное лицо,Бетон,Новострой,,3,3.0,Кишинёв мун.,Кишинёв,Центр,str. Ivan Zaikin 51,63
1-комнатная квартира,,,8550099000.0,2,2,,,Агентство,,Новострой,,14,12.0,Кишинёв мун.,Кишинёв,Ботаника,бул. Траян 22,53
3-х комнатная квартира,Oткрытое,,120000.0,1,1,,Eвроремонт,,Бетон,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Magda Isanos 15,62
4-x комнатная квартира,Гараж,Индивидуальная,253500.0,Нет,3,Квартира с ливингом,Косметический pемонт,Застройщик,Kотельцовый,Новострой,A-casa,5,2.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Traian 6/4,186
1-комнатная квартира,Подземная,,77500.0,1,1,,Белый вариант,Частное лицо,,Новострой,Sky House,9,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 20/1,50
3-х комнатная квартира,Подземная,,131700.0,2,2,Квартира с ливингом,Белый вариант,Частное лицо,Бетон,Новострой,Sky House,18,14.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 14,91
2-х комнатная квартира,Oткрытое,Варц (Варницкая),96500.0,1,1,Квартира без ливинга,Eвроремонт,Частное лицо,,Вторичный,,9,4.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Batran 27/3,52
2-х комнатная квартира,,,87000.0,1,1,,Eвроремонт,Застройщик,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Trandafirilor 31/5,43
3-х комнатная квартира,,,122000.0,1,,Квартира с ливингом,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Miron Costin 20,80
1-комнатная квартира,Подземная,,63900.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,5,3.0,Кишинёв мун.,Кишинёв,Телецентр,str. Schinoasa-Vale 3,45
3-х комнатная квартира,Подземная,,107500.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,7,3.0,Кишинёв мун.,Кишинёв,Телецентр,str. Schinoasa-Vale 1a,84
3-х комнатная квартира,,,130500.0,,,,,Застройщик,,Новострой,Solomon Construct Imobil,12,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/4,87
3-х комнатная квартира,,,36000.0,1,2,,Индивидуальный дизайн,Частное лицо,,Вторичный,,5,3.0,Единцы,Купчинь,Центр,str. Livezilor 8,67
1-комнатная квартира,Oткрытое,Индивидуальная,74500.0,,1,Квартира без ливинга,Eвроремонт,Застройщик,Kотельцовый,Новострой,AMIC,6,6.0,Кишинёв мун.,Криково,Центр,Str Chișinăului  82,54
1-комнатная квартира,,,95900.0,1,1,,Eвроремонт,Агентство,,Новострой,,8,5.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 126/6,42
2-х комнатная квартира,,,103500.0,,,,,Застройщик,,Новострой,Solomon Construct Imobil,12,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/4,69
1-комнатная квартира,Oткрытое,,48240.0,1,1,Квартира с ливингом,Белый вариант,Застройщик,Kомбинированный,Новострой,,10,4.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 99/6,40
3-х комнатная квартира,Гараж,Индивидуальная,140000.0,1,2,Квартира без ливинга,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,2,2.0,Кишинёв мун.,Кишинёв,Центр,str. 31 August 1989 36,90
2-х комнатная квартира,Гараж,Индивидуальная,84000.0,1,1,,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,2,2.0,Кишинёв мун.,Кишинёв,Центр,str. 31 August 1989 36,35
1-комнатная квартира,Oткрытое,Индивидуальная,64000.0,,1,,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,2,1.0,Кишинёв мун.,Кишинёв,Центр,str. 31 August 1989 36,34
2-х комнатная квартира,,,102000.0,,,,,Застройщик,,Новострой,,8,3.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 98/1,68
2-х комнатная квартира,,,103500.0,,,,,Застройщик,,Новострой,Solomon Construct Imobil,12,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/4,69
2-х комнатная квартира,,,95000.0,,,,,Застройщик,,Вторичный,,9,2.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 17,60
2-х комнатная квартира,Oткрытое,,205000.0,1,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,11,3.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 0,80
2-х комнатная квартира,Oткрытое,Индивидуальная,215000.0,1,2,Квартира с ливингом,Eвроремонт,Агентство,Kирпичный,Новострой,Solomon Construct Imobil,9,4.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spatarul 63,71
3-х комнатная квартира,Oткрытое,,185000.0,1,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Dansicons,10,2.0,Кишинёв мун.,Кишинёв,Чокана,ул. Николае Милеску-Спэтарул 43,90
2-х комнатная квартира,,,89900.0,1,1,,,Застройщик,,Новострой,Solomon Construct Imobil,10,1.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 100a,56
1-комнатная квартира,,,29999.0,,1,,Нуждается в ремонте,Частное лицо,,Вторичный,,5,1.0,Страшены,Страшены,Центр,str. Alexei Mateevici 5,33
2-х комнатная квартира,Oткрытое,,67500.0,1,1,Квартира с ливингом,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Телецентр,str. Lech Kaczynski 6/1,47
2-х комнатная квартира,Oткрытое,,97000.0,1,,Квартира с ливингом,Сдан в эксплуатацию,Застройщик,,Новострой,Solomon Construct Imobil,11,9.0,Расположение,,,,60
1-комнатная квартира,,,124900.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,12,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Alecu Russo 9/7,47
2-х комнатная квартира,,,166900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,11,10.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nicolae Testemițanu 3/3,72
1-комнатная квартира,,,72000.0,,,,Eвроремонт,Агентство,,Вторичный,,9,1.0,Кишинёв мун.,Кишинёв,Скулянка,str. Calea Ieșilor 47/2,34
2-х комнатная квартира,,,147900.0,,1,,Eвроремонт,Агентство,,Новострой,,9,1.0,Кишинёв мун.,Кишинёв,Центр,str. Moara Roșie 5,59
1-комнатная квартира,,,36900.0,,1,,Eвроремонт,Агентство,,Вторичный,,7,2.0,Кишинёв мун.,Кишинёв,Телецентр,str. Vasile Cheltuială 9/2,25
1-комнатная квартира,,,108000.0,,1,,Eвроремонт,Агентство,,Новострой,,15,11.0,Кишинёв мун.,Кишинёв,Центр,str. Nicolae Testemițanu 3/10,43
2-х комнатная квартира,,,219900.0,,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,10.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 100/2,140
