apartment_condition,rooms,bathroom,total_floors,floor,region,city,sector,street,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center
0.0,1.0,1,12,5.0,Кишинёв мун.,Кишинёв,Ботаника,Cetatea Albă nr 11/G Noua,39,1282.051282051282,0.4166666666666667,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,46.988,28.854,0.0
4.0,1.0,,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 25,43,2534.8837209302324,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0310499,28.7697398,7983.128448161052
4.0,2.0,1,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Suceava 110,72,1763.888888888889,0.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47.0316684,28.7893797,1315.3197572766778
4.0,3.0,1,2,2.0,Кишинёв мун.,Кишинёв,Центр,ул. Поштей 92,90,921.1111111111111,1.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,47.0463405,28.8344004,2490.802113823216
4.0,2.0,2,9,7.0,Кишинёв мун.,Кишинёв,Старая Почта,ул. Каля Орхеюлуй 105/2,56,2051.785714285714,0.7777777777777778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.061,28.806,0.0
,1.0,1,13,8.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Socoleni 23,35,1900.0,0.6153846153846154,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,47.061,28.806,0.0
,3.0,,10,3.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spătarul 1,80,1687.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.05255,28.8966357,1929.082889595869
0.0,2.0,2,10,8.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești .,69,1695.5072463768115,0.8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.9967639,28.8027341,1285.0065814663399
4.0,3.0,2,9,1.0,Кишинёв мун.,Кишинёв,Центр,Gradinilor .,75,1850.6666666666667,0.1111111111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.024,28.832,0.0
3.0,3.0,2,11,9.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба Юлия 77/5,92,2054.3478260869565,0.8181818181818182,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,47.039,28.803,0.0
4.0,2.0,1,9,6.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Dumitru Rîșcanu; .,65,2076.923076923077,0.6666666666666666,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.049,28.863,0.0
0.0,1.0,1,4,2.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 102,45,1234.9777777777779,0.5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.0027204,28.7750151,3183.8960279034072
4.0,2.0,1,11,3.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба-Юлия .,51,2117.6470588235293,0.2727272727272727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.039,28.803,0.0
4.0,1.0,1,10,7.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24,43,2090.6976744186045,0.7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.019,28.763,0.0
0.0,3.0,2,14,13.0,Кишинёв мун.,Кишинёв,Старая Почта,ул. Язулуй 38,170,1650.0,0.9285714285714286,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,47.061,28.806,0.0
0.0,2.0,1,11,5.0,Кишинёв мун.,Кишинёв,Центр,str. Tecuci .,64,1609.375,0.45454545454545453,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0099344,28.8532169,2243.5098655489937
0.0,2.0,2,10,2.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo .,66,1106.060606060606,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0162235,28.7476527,1203.7400655706967
,3.0,2,9,8.0,Кишинёв мун.,Кишинёв,Центр,str. Mitropolitul Petru Movilă *,124,2137.0967741935483,0.8888888888888888,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.024,28.832,0.0
0.0,1.0,1,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Bisericii .,64,1550.0,0.8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.039,28.803,0.0
0.0,3.0,2,12,12.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni .,174,1264.367816091954,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0003077,28.7794375,2864.1434422208563
0.0,1.0,1,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str-la Bisericii 1,55,1740.4545454545455,0.8,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,47.039,28.803,0.0
4.0,2.0,3,5,4.0,Кишинёв мун.,Кишинёв,Центр,ул. Василе Александри .,69,2681.159420289855,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.024,28.832,0.0
4.0,2.0,1,9,9.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Ион Буздуган .,75,2793.3333333333335,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.039,28.803,0.0
4.0,1.0,1,11,4.0,Кишинёв мун.,Кишинёв,Телецентр,Ialoveni  .,53,2054.7169811320755,0.36363636363636365,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.003,28.817,0.0
4.0,2.0,1,4,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski .,44,1863.6363636363637,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
,2.0,,5,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski 5/1,48,2031.25,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
0.0,2.0,1,8,3.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spatarul .,70,1785.7142857142858,0.375,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0683481,28.8974532,3653.5117878766237
4.0,2.0,1,12,11.0,Кишинёв мун.,Кишинёв,Чокана,Mircea Cel Batran 14,80,2811.25,0.9166666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.036,28.889,0.0
4.0,1.0,1,9,1.0,Кишинёв мун.,Кишинёв,Буюканы,str. Liviu Deleanu .,54,1935.1851851851852,0.1111111111111111,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.039,28.803,0.0
4.0,2.0,1,5,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Trandafirilor .,46,2032.608695652174,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
,2.0,,16,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Florilor 28/2,72,1909.7222222222222,0.3125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0581416,28.8607649,1030.5063668049115
4.0,1.0,1,9,8.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Гренобле .,36,1638.888888888889,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9790038,28.8441651,1247.9044576825872
4.0,3.0,2,9,7.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Traian .,72,1451.388888888889,0.7777777777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
0.0,2.0,1,13,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo *,79,1137.9746835443038,0.6923076923076923,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.019,28.763,0.0
,2.0,1,10,7.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,47,916.0851063829788,0.7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0132668,28.7511952,1098.787581805104
0.0,1.0,1,14,13.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 14,47,1398.0,0.9285714285714286,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.061,28.806,0.0
4.0,1.0,1,6,6.0,Кишинёв мун.,Кишинёв,Ботаника,str. Valea Trandafirilor .,53,1400.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
4.0,1.0,1,6,6.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski .,51,1470.5882352941176,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
4.0,1.0,1,9,2.0,Кишинёв мун.,Кишинёв,Буюканы,str. Ion Buzdugan 9,48,2604.1666666666665,0.2222222222222222,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.039,28.803,0.0
,1.0,,8,8.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 98/1,34,1735.2941176470588,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0013294,28.7781318,2953.2890959087863
4.0,3.0,2,10,1.0,Кишинёв мун.,Кишинёв,Центр,str. Mihai Eminescu ,140,4642.857142857143,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.024,28.832,0.0
4.0,1.0,,9,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Ion Buzdugan 13,47,2691.4893617021276,0.4444444444444444,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0386476,28.7597872,3274.88463606935
,2.0,,4,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Minsk -,46,1932.608695652174,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
4.0,1.0,1,6,1.0,Кишинёв мун.,Криково,Центр,str. Chişinău 62,48,2000.0,0.16666666666666666,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,
4.0,2.0,,10,2.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin 68,47,2840.425531914894,0.2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.039,28.803,0.0
4.0,2.0,2,10,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Hristo Botev 6,102,2352.9411764705883,0.3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,46.9881356,28.8444556,724.1158877622267
4.0,2.0,1,9,8.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin 65/3,54,2033.3333333333333,0.8888888888888888,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47.039,28.803,0.0
,2.0,,9,7.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Алба-Юлия 202/2,54,1459.2592592592594,0.7777777777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.039,28.803,0.0
,2.0,,12,6.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба-Юлия 77/2,75,2493.3333333333335,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.039,28.803,0.0
,2.0,,5,3.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба-Юлия 17/A,83,2143.373493975904,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.039,28.803,0.0
4.0,2.0,,16,16.0,Кишинёв мун.,Кишинёв,Ботаника,str. Sarmizegetusa 23,80,1687.5,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,46.9905969,28.8702738,1267.692806641298
,3.0,,10,9.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin ---,81,2345.679012345679,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.039,28.803,0.0
,3.0,2,12,10.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble -,68,1500.0,0.8333333333333334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.9721193,28.8512015,1778.5697167990459
4.0,3.0,,14,11.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Cuza Voda 23,69,1665.2173913043478,0.7857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
0.0,2.0,,7,7.0,Кишинёв мун.,Кишинёв,Телецентр,str. Schinoasa-Vale 3,80,1450.0,1.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,46.988838,28.810077,1659.9654907431452
0.0,4.0,3,12,12.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/3,159,1798.74213836478,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,46.9736166,28.8477059,1669.1153152274599
4.0,2.0,1,11,10.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 102,63,2000.0,0.9090909090909091,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.0027204,28.7750151,3183.8960279034072
0.0,1.0,1,15,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo .,53,1198.1132075471698,0.6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.0162235,28.7476527,1203.7400655706967
0.0,1.0,1,9,5.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești .,52,1287.5,0.5555555555555556,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.9967639,28.8027341,1285.0065814663399
0.0,2.0,2,10,5.0,Кишинёв мун.,Кишинёв,Чокана,str. Vadul lui Vodă 34,62,1691.9354838709678,0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.036,28.889,0.0
4.0,2.0,1,9,7.0,Кишинёв мун.,Дурлешты,Центр,str. Ialoveni 136/A,53,2265.2830188679245,0.7777777777777778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.019,28.763,0.0
0.0,2.0,1,11,8.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 140/1,63,1360.3174603174602,0.7272727272727273,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,47.003,28.817,0.0
,2.0,1,14,9.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Грэдина Ботаникэ 18/1,64,2499.84375,0.6428571428571429,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,46.988,28.854,0.0
,1.0,1,4,2.0,Кишинёв мун.,Кишинёв,Чокана,str. Ișnovăț 11,24,1291.6666666666667,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,47.0098655,28.8886847,2906.1220926319756
4.0,3.0,,15,1.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 41/A,92,2489.1304347826085,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.057588,28.890629,2403.6471277178857
4.0,1.0,,9,5.0,Кишинёв мун.,Дурлешты,Центр,str. Regele Carol 1,42,2283.3333333333335,0.5555555555555556,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.019,28.763,0.0
4.0,1.0,1,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nicolae Titulescu -,30,1833.3333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
0.0,1.0,1,10,2.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 142,56,1375.0,0.2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46.9930088,28.785891,2607.72497798578
0.0,2.0,2,7,5.0,Кишинёв мун.,Криково,Центр,str. Vasile Alescandri 5,63,1400.0,0.7142857142857143,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,,
4.0,1.0,1,9,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 120/3,44,2497.7272727272725,0.1111111111111111,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,46.988,28.854,0.0
,2.0,,9,8.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 17,60,1531.6666666666667,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47.036,28.889,0.0
3.0,3.0,2,11,10.0,Кишинёв мун.,Кишинёв,Ботаника,str. Tudor Strișcă 8/7,163,2392.6380368098157,0.9090909090909091,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,46.9873456,28.8408937,996.8018598867833
0.0,1.0,,13,6.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 8,38,1184.2105263157894,0.46153846153846156,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46.988,28.854,0.0
0.0,2.0,2,7,5.0,Кишинёв мун.,Кишинёв,Ботаника,пр-т Дачия 59,68,1122.8529411764705,0.7142857142857143,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,46.988,28.854,0.0
0.0,1.0,1,12,6.0,Кишинёв мун.,Кишинёв,Телецентр,str. Alexandru Lăpușneanu 5,52,980.7692307692307,0.5,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,47.0315285,28.8171955,3172.2590868522557
,1.0,2,12,5.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,47,2276.574468085106,0.4166666666666667,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0221197,28.8008688,1883.9410283209686
,1.0,,7,5.0,Кишинёв мун.,Дурлешты,Центр,str. Alexandr Orlov 46,48,2081.25,0.7142857142857143,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.019,28.763,0.0
4.0,3.0,2,9,9.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nadejda Russo 17,185,2648.6486486486488,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,47.049,28.863,0.0
2.0,4.0,2,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Cetatea Albă 143,87,1028.7356321839081,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.988,28.854,0.0
4.0,2.0,,9,2.0,Кишинёв мун.,Кишинёв,Центр,str. Alexandru cel Bun 108,80,2250.0,0.2222222222222222,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,47.0293865,28.8346001,630.541960989176
4.0,2.0,2,9,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin 44/4,67,2283.582089552239,0.4444444444444444,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,47.039,28.803,0.0
0.0,2.0,1,16,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 10,58,1510.0,0.25,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.004006,28.8668806,2030.2496513818726
4.0,1.0,1,16,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Florilor 32,38,1471.0526315789473,0.4375,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47.049,28.863,0.0
4.0,2.0,2,9,2.0,Кишинёв мун.,Кишинёв,Буюканы,str. Onisifor Ghibu 2/3,50,2290.0,0.2222222222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47.039,28.803,0.0
0.0,2.0,2,4,2.0,Кишинёв мун.,Кишинёв,Центр,str. Lacului 0,90,2722.222222222222,0.5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,47.024,28.832,0.0
0.0,1.0,1,5,1.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești .,53,1506.5094339622642,0.2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.9967639,28.8027341,1285.0065814663399
3.0,3.0,1,15,13.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 41/b,92,2500.0,0.8666666666666667,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,47.036,28.889,0.0
,1.0,4 и более,8,3.0,Кишинёв мун.,Дурлешты,Центр,Regina Elisabeta 4,45,1550.0,0.375,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0050744,28.7619193,1550.6223704964784
2.0,3.0,2,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Sucevița 31,69,1695.6521739130435,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0325286,28.7790868,1949.874330844143
,2.0,,15,15.0,Кишинёв мун.,Кишинёв,Центр,str. Nicolae Testemițanu 3/18,73,1917.8082191780823,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.024,28.832,0.0
0.0,3.0,,17,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Tudor Strișcă 19/2,86,1626.7441860465117,0.4117647058823529,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.9867518,28.835695,1395.4028840128835
0.0,3.0,2,9,9.0,Кишинёв мун.,Дурлешты,Центр,str. Durlesti 10/B,84,1441.3690476190477,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,47.0434084,28.7483791,2931.5910541947146
0.0,2.0,2,13,13.0,Кишинёв мун.,Кишинёв,Старая Почта,Iazului  38,143,1650.0,1.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0624684,28.844226,2900.10828889157
,1.0,,18,9.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 94,42,1071.4285714285713,0.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0054424,28.8668156,2169.407332980258
3.0,3.0,,8,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Pandurilor 42,105,1903.8095238095239,0.25,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46.988,28.854,0.0
0.0,3.0,2,6,1.0,Кишинёв мун.,Дурлешты,Центр,str. Durlești 8,96,1412.9791666666667,0.16666666666666666,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,47.0446369,28.7457465,3136.297581269001
4.0,2.0,,15,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Matei Basarab 1/1,86,2302.3255813953488,0.3333333333333333,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0571713,28.8606928,925.2670562976307
1.0,1.0,,9,6.0,Кишинёв мун.,Кишинёв,Аэропорт,bd. Dacia 60/5,42,1357.142857142857,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,
0.0,3.0,1,12,3.0,Кишинёв мун.,Кишинёв,Центр,str. Ciuflea 1,78,3800.0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.024,28.832,0.0
4.0,2.0,1,9,8.0,Кишинёв мун.,Кишинёв,Центр,str. Vasile Alecsandri 11,72,2180.5555555555557,0.8888888888888888,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0084759,28.8271332,1765.1918401777496
2.0,3.0,2,9,6.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Cuza Vodă /,72,1340.2777777777778,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.988,28.854,0.0
0.0,2.0,2,10,2.0,Кишинёв мун.,Кишинёв,Чокана,ул. Вадул луй Водэ 30,64,1578.125,0.2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.036,28.889,0.0
4.0,2.0,,11,3.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Гренобле 257,60,1966.6666666666667,0.2727272727272727,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,46.988,28.854,0.0
0.0,2.0,1,7,3.0,Кишинёв мун.,Кишинёв,Центр,str. Moara Roșie 5/D,101,2326.732673267327,0.42857142857142855,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,47.024,28.832,0.0
